order,filename,alt_text
01,14k-white-01-chalk-slab-hero.jpg,"14K White Gold Lintel wedding band standing upright as the main product view, with a wide satin center and polished rounded edge rails in a chalk limestone, pale sand and natural linen setting."
02,14k-white-02-fossil-pebble.jpg,"14K White Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a chalk limestone, pale sand and natural linen setting."
03,14k-white-03-sandstone-horizontal.jpg,"14K White Gold Lintel wedding band resting horizontally to show the full profile, with a wide satin center and polished rounded edge rails in a chalk limestone, pale sand and natural linen setting."
04,14k-white-04-sand-grain-macro.jpg,"14K White Gold Lintel wedding band in a close view of the satin and polished finishes, with a wide satin center and polished rounded edge rails in a chalk limestone, pale sand and natural linen setting."
05,14k-white-05-on-hand-sandstone.jpg,"14K White Gold Lintel wedding band shown on a natural hand for scale, with a wide satin center and polished rounded edge rails in a chalk limestone, pale sand and natural linen setting."
06,14k-white-06-beech-block-workshop.jpg,"14K White Gold Lintel wedding band shown in a natural jewelry workshop setting, with a wide satin center and polished rounded edge rails in a chalk limestone, pale sand and natural linen setting."
07,14k-white-07-limestone-slice-interior.jpg,"14K White Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a chalk limestone, pale sand and natural linen setting."
08,14k-white-08-packaging-concept.jpg,"14K White Gold Lintel wedding band presented in an EON packaging concept, with a wide satin center and polished rounded edge rails in a chalk limestone, pale sand and natural linen setting."
09,14k-white-09-limestone-groove-sand.jpg,"14K White Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a chalk limestone, pale sand and natural linen setting."
10,14k-white-10-limestone-dust-interior-macro.jpg,"14K White Gold Lintel wedding band in a close view of the comfort-fit interior, with a wide satin center and polished rounded edge rails in a chalk limestone, pale sand and natural linen setting."
