order,filename,alt_text
01,18k-rose-01-mahogany-arch-hero.jpg,"18K Rose Gold Lintel wedding band standing upright as the main product view, with a wide satin center and polished rounded edge rails in a mahogany, saddle leather and amber light setting."
02,18k-rose-02-carved-walnut-notch.jpg,"18K Rose Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a mahogany, saddle leather and amber light setting."
03,18k-rose-03-saddle-leather-overhead.jpg,"18K Rose Gold Lintel wedding band photographed from above, with a wide satin center and polished rounded edge rails in a mahogany, saddle leather and amber light setting."
04,18k-rose-04-teak-burl-macro.jpg,"18K Rose Gold Lintel wedding band in a close view of the satin and polished finishes, with a wide satin center and polished rounded edge rails in a mahogany, saddle leather and amber light setting."
05,18k-rose-05-on-hand-espresso-linen.jpg,"18K Rose Gold Lintel wedding band shown on a natural hand for scale, with a wide satin center and polished rounded edge rails in a mahogany, saddle leather and amber light setting."
06,18k-rose-06-smoked-oak-workshop.jpg,"18K Rose Gold Lintel wedding band shown in a natural jewelry workshop setting, with a wide satin center and polished rounded edge rails in a mahogany, saddle leather and amber light setting."
07,18k-rose-07-mahogany-edge-horizontal.jpg,"18K Rose Gold Lintel wedding band resting horizontally to show the full profile, with a wide satin center and polished rounded edge rails in a mahogany, saddle leather and amber light setting."
08,18k-rose-08-packaging-concept.jpg,"18K Rose Gold Lintel wedding band presented in an EON packaging concept, with a wide satin center and polished rounded edge rails in a mahogany, saddle leather and amber light setting."
09,18k-rose-09-layered-mahogany-closing.jpg,"18K Rose Gold Lintel wedding band in a final atmospheric product view, with a wide satin center and polished rounded edge rails in a mahogany, saddle leather and amber light setting."
10,18k-rose-10-walnut-shaving-interior-macro.jpg,"18K Rose Gold Lintel wedding band in a close view of the comfort-fit interior, with a wide satin center and polished rounded edge rails in a mahogany, saddle leather and amber light setting."
