order,filename,alt_text
01,10k-rose-01-wet-basalt-hero.jpg,"10K Rose Gold Lintel wedding band standing upright as the main product view, with a wide satin center and polished rounded edge rails in a cool water, wet slate and charcoal gray setting."
02,10k-rose-02-river-stone-stream.jpg,"10K Rose Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a cool water, wet slate and charcoal gray setting."
03,10k-rose-03-concrete-overhead.jpg,"10K Rose Gold Lintel wedding band photographed from above, with a wide satin center and polished rounded edge rails in a cool water, wet slate and charcoal gray setting."
04,10k-rose-04-wet-slate-macro.jpg,"10K Rose Gold Lintel wedding band in a close view of the satin and polished finishes, with a wide satin center and polished rounded edge rails in a cool water, wet slate and charcoal gray setting."
05,10k-rose-05-on-hand-charcoal-wool.jpg,"10K Rose Gold Lintel wedding band shown on a natural hand for scale, with a wide satin center and polished rounded edge rails in a cool water, wet slate and charcoal gray setting."
06,10k-rose-06-wood-clamp-workshop.jpg,"10K Rose Gold Lintel wedding band shown in a natural jewelry workshop setting, with a wide satin center and polished rounded edge rails in a cool water, wet slate and charcoal gray setting."
07,10k-rose-07-ceramic-horizontal.jpg,"10K Rose Gold Lintel wedding band resting horizontally to show the full profile, with a wide satin center and polished rounded edge rails in a cool water, wet slate and charcoal gray setting."
08,10k-rose-08-packaging-concept.jpg,"10K Rose Gold Lintel wedding band presented in an EON packaging concept, with a wide satin center and polished rounded edge rails in a cool water, wet slate and charcoal gray setting."
09,10k-rose-09-steel-water-tray.jpg,"10K Rose Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a cool water, wet slate and charcoal gray setting."
10,10k-rose-10-interior-linen-macro.jpg,"10K Rose Gold Lintel wedding band in a close view of the satin and polished finishes, with a wide satin center and polished rounded edge rails in a cool water, wet slate and charcoal gray setting."
