order,filename,alt_text
01,14k-yellow-01-limestone-block-hero.jpg,"14K Yellow Gold Lintel wedding band standing upright as the main product view, with a wide satin center and polished rounded edge rails in a limestone, linen and warm sand setting."
02,14k-yellow-02-broken-limestone.jpg,"14K Yellow Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a limestone, linen and warm sand setting."
03,14k-yellow-03-wind-sand-overhead.jpg,"14K Yellow Gold Lintel wedding band photographed from above, with a wide satin center and polished rounded edge rails in a limestone, linen and warm sand setting."
04,14k-yellow-04-ceramic-macro.jpg,"14K Yellow Gold Lintel wedding band in a close view of the satin and polished finishes, with a wide satin center and polished rounded edge rails in a limestone, linen and warm sand setting."
05,14k-yellow-05-on-hand-linen.jpg,"14K Yellow Gold Lintel wedding band shown on a natural hand for scale, with a wide satin center and polished rounded edge rails in a limestone, linen and warm sand setting."
06,14k-yellow-06-birch-bench-workshop.jpg,"14K Yellow Gold Lintel wedding band shown in a natural jewelry workshop setting, with a wide satin center and polished rounded edge rails in a limestone, linen and warm sand setting."
07,14k-yellow-07-travertine-horizontal.jpg,"14K Yellow Gold Lintel wedding band resting horizontally to show the full profile, with a wide satin center and polished rounded edge rails in a limestone, linen and warm sand setting."
08,14k-yellow-08-packaging-concept.jpg,"14K Yellow Gold Lintel wedding band presented in an EON packaging concept, with a wide satin center and polished rounded edge rails in a limestone, linen and warm sand setting."
09,14k-yellow-09-limestone-ridge-sand-fan.jpg,"14K Yellow Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a limestone, linen and warm sand setting."
10,14k-yellow-10-linen-interior-macro.jpg,"14K Yellow Gold Lintel wedding band in a close view of the comfort-fit interior, with a wide satin center and polished rounded edge rails in a limestone, linen and warm sand setting."
