order,filename,alt_text
01,18k-yellow-01-walnut-plinth-hero.jpg,"18K Yellow Gold Lintel wedding band standing upright as the main product view, with a wide satin center and polished rounded edge rails in a dark walnut, espresso leather and amber light setting."
02,18k-yellow-02-split-charred-oak.jpg,"18K Yellow Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a dark walnut, espresso leather and amber light setting."
03,18k-yellow-03-ebony-tray-overhead.jpg,"18K Yellow Gold Lintel wedding band photographed from above, with a wide satin center and polished rounded edge rails in a dark walnut, espresso leather and amber light setting."
04,18k-yellow-04-walnut-finish-macro.jpg,"18K Yellow Gold Lintel wedding band in a close view of the satin and polished finishes, with a wide satin center and polished rounded edge rails in a dark walnut, espresso leather and amber light setting."
05,18k-yellow-05-on-hand-brown-wool.jpg,"18K Yellow Gold Lintel wedding band shown on a natural hand for scale, with a wide satin center and polished rounded edge rails in a dark walnut, espresso leather and amber light setting."
06,18k-yellow-06-mahogany-bench-workshop.jpg,"18K Yellow Gold Lintel wedding band shown in a natural jewelry workshop setting, with a wide satin center and polished rounded edge rails in a dark walnut, espresso leather and amber light setting."
07,18k-yellow-07-elm-ledge-horizontal.jpg,"18K Yellow Gold Lintel wedding band resting horizontally to show the full profile, with a wide satin center and polished rounded edge rails in a dark walnut, espresso leather and amber light setting."
08,18k-yellow-08-packaging-concept.jpg,"18K Yellow Gold Lintel wedding band presented in an EON packaging concept, with a wide satin center and polished rounded edge rails in a dark walnut, espresso leather and amber light setting."
09,18k-yellow-09-slatted-walnut-closing.jpg,"18K Yellow Gold Lintel wedding band in a final atmospheric product view, with a wide satin center and polished rounded edge rails in a dark walnut, espresso leather and amber light setting."
10,18k-yellow-10-espresso-leather-interior-macro.jpg,"18K Yellow Gold Lintel wedding band in a close view of the comfort-fit interior, with a wide satin center and polished rounded edge rails in a dark walnut, espresso leather and amber light setting."
