sku,etsy_listing_id,panel_listing_id,role,reserved_file,rejection_reason
GLD-R-1009,4560186803,f9978497-70f2-4c99-8476-e2b7dcbd990d,03-side,gld-r-1009/03-side-flat-source.jpg,Flat vertical edge with no visible sloped bevel
GLD-R-1009,4560186803,f9978497-70f2-4c99-8476-e2b7dcbd990d,04-top,gld-r-1009/04-top-flat-source.jpg,Top view hides bevel and milgrain geometry
GLD-R-1409,4560211476,3ca47516-1dc8-4ca7-8185-582196fd2bdd,03-side,gld-r-1409/03-side-flat-source.jpg,Flat vertical edge with no visible sloped bevel
GLD-R-1409,4560211476,3ca47516-1dc8-4ca7-8185-582196fd2bdd,04-top,gld-r-1409/04-top-flat-source.jpg,Top view hides bevel and milgrain geometry
GLD-R-1809,4560211748,ef44d934-f999-4e12-a5c5-713cab0048bb,03-side,gld-r-1809/03-side-flat-source.jpg,Flat vertical edge with no visible sloped bevel
GLD-R-1809,4560211748,ef44d934-f999-4e12-a5c5-713cab0048bb,04-top,gld-r-1809/04-top-flat-source.jpg,Top view hides bevel and milgrain geometry
WHG-R-1009,4560186191,a25fb4a3-9bee-4a4b-ad50-0bc47b6abfc2,03-side,whg-r-1009/03-side-flat-source.jpg,Flat vertical edge with no visible sloped bevel
WHG-R-1009,4560186191,a25fb4a3-9bee-4a4b-ad50-0bc47b6abfc2,04-top,whg-r-1009/04-top-flat-source.jpg,Top view hides bevel and milgrain geometry
WHG-R-1409,4560210242,e89d2870-6a46-4695-8d16-c71799a0ef13,03-side,whg-r-1409/03-side-flat-source.jpg,Flat vertical edge with no visible sloped bevel
WHG-R-1409,4560210242,e89d2870-6a46-4695-8d16-c71799a0ef13,04-top,whg-r-1409/04-top-flat-source.jpg,Top view hides bevel and milgrain geometry
WHG-R-1809,4560185581,11b22d39-b907-4639-9a23-7b8f2de0af24,03-side,whg-r-1809/03-side-flat-source.jpg,Flat vertical edge with no visible sloped bevel
WHG-R-1809,4560185581,11b22d39-b907-4639-9a23-7b8f2de0af24,04-top,whg-r-1809/04-top-flat-source.jpg,Top view hides bevel and milgrain geometry
RSG-R-1009,4560212214,1d006a5c-27a0-43f5-b2c2-2476a920d06f,03-side,rsg-r-1009/03-side-flat-source.jpg,Flat vertical edge with no visible sloped bevel
RSG-R-1009,4560212214,1d006a5c-27a0-43f5-b2c2-2476a920d06f,04-top,rsg-r-1009/04-top-flat-source.jpg,Top view hides bevel and milgrain geometry
RSG-R-1409,4560188131,f2ae7cd1-b018-44c8-be02-1a8548caeccd,03-side,rsg-r-1409/03-side-flat-source.jpg,Flat vertical edge with no visible sloped bevel
RSG-R-1409,4560188131,f2ae7cd1-b018-44c8-be02-1a8548caeccd,04-top,rsg-r-1409/04-top-flat-source.jpg,Top view hides bevel and milgrain geometry
RSG-R-1809,4560210870,eafa6b46-b493-4b7b-bf69-ad69c7abbbcd,03-side,rsg-r-1809/03-side-flat-source.jpg,Flat vertical edge with no visible sloped bevel
RSG-R-1809,4560210870,eafa6b46-b493-4b7b-bf69-ad69c7abbbcd,04-top,rsg-r-1809/04-top-flat-source.jpg,Top view hides bevel and milgrain geometry
