order,filename,alt_text
01,10k-white-01-damp-granite-hero.jpg,"10K White Gold Lintel wedding band standing upright as the main product view, with a wide satin center and polished rounded edge rails in a cool water, damp granite and gray metal setting."
02,10k-white-02-river-pebble.jpg,"10K White Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a cool water, damp granite and gray metal setting."
03,10k-white-03-pewter-horizontal.jpg,"10K White Gold Lintel wedding band resting horizontally to show the full profile, with a wide satin center and polished rounded edge rails in a cool water, damp granite and gray metal setting."
04,10k-white-04-finish-macro.jpg,"10K White Gold Lintel wedding band in a close view of the satin and polished finishes, with a wide satin center and polished rounded edge rails in a cool water, damp granite and gray metal setting."
05,10k-white-05-on-hand-linen.jpg,"10K White Gold Lintel wedding band shown on a natural hand for scale, with a wide satin center and polished rounded edge rails in a cool water, damp granite and gray metal setting."
06,10k-white-06-steel-bench-workshop.jpg,"10K White Gold Lintel wedding band shown in a natural jewelry workshop setting, with a wide satin center and polished rounded edge rails in a cool water, damp granite and gray metal setting."
07,10k-white-07-slate-interior.jpg,"10K White Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a cool water, damp granite and gray metal setting."
08,10k-white-08-packaging-concept.jpg,"10K White Gold Lintel wedding band presented in an EON packaging concept, with a wide satin center and polished rounded edge rails in a cool water, damp granite and gray metal setting."
09,10k-white-09-granite-water-channel.jpg,"10K White Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a cool water, damp granite and gray metal setting."
10,10k-white-10-interior-rail-macro.jpg,"10K White Gold Lintel wedding band in a close view of the satin and polished finishes, with a wide satin center and polished rounded edge rails in a cool water, damp granite and gray metal setting."
