order,filename,alt_text
01,18k-white-01-ebonized-oak-hero.jpg,"18K White Gold Lintel wedding band standing upright as the main product view, with a wide satin center and polished rounded edge rails in a ebonized oak, charcoal textile and amber light setting."
02,18k-white-02-walnut-endgrain-lean.jpg,"18K White Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a ebonized oak, charcoal textile and amber light setting."
03,18k-white-03-dark-oak-horizontal.jpg,"18K White Gold Lintel wedding band resting horizontally to show the full profile, with a wide satin center and polished rounded edge rails in a ebonized oak, charcoal textile and amber light setting."
04,18k-white-04-scorched-oak-macro.jpg,"18K White Gold Lintel wedding band in a close view of the satin and polished finishes, with a wide satin center and polished rounded edge rails in a ebonized oak, charcoal textile and amber light setting."
05,18k-white-05-on-hand-walnut-charcoal.jpg,"18K White Gold Lintel wedding band shown on a natural hand for scale, with a wide satin center and polished rounded edge rails in a ebonized oak, charcoal textile and amber light setting."
06,18k-white-06-walnut-peg-workshop.jpg,"18K White Gold Lintel wedding band shown in a natural jewelry workshop setting, with a wide satin center and polished rounded edge rails in a ebonized oak, charcoal textile and amber light setting."
07,18k-white-07-carved-oak-interior.jpg,"18K White Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a ebonized oak, charcoal textile and amber light setting."
08,18k-white-08-packaging-concept.jpg,"18K White Gold Lintel wedding band presented in an EON packaging concept, with a wide satin center and polished rounded edge rails in a ebonized oak, charcoal textile and amber light setting."
09,18k-white-09-lacquered-wood-closing.jpg,"18K White Gold Lintel wedding band in a final atmospheric product view, with a wide satin center and polished rounded edge rails in a ebonized oak, charcoal textile and amber light setting."
10,18k-white-10-cocoa-linen-interior-macro.jpg,"18K White Gold Lintel wedding band in a close view of the comfort-fit interior, with a wide satin center and polished rounded edge rails in a ebonized oak, charcoal textile and amber light setting."
