order,filename,alt_text
01,14k-rose-01-limestone-arch-hero.jpg,"14K Rose Gold Lintel wedding band standing upright as the main product view, with a wide satin center and polished rounded edge rails in a limestone, woven cotton and warm sand setting."
02,14k-rose-02-wind-sand-ridge.jpg,"14K Rose Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a limestone, woven cotton and warm sand setting."
03,14k-rose-03-tile-overhead.jpg,"14K Rose Gold Lintel wedding band photographed from above, with a wide satin center and polished rounded edge rails in a limestone, woven cotton and warm sand setting."
04,14k-rose-04-limestone-macro.jpg,"14K Rose Gold Lintel wedding band in a close view of the satin and polished finishes, with a wide satin center and polished rounded edge rails in a limestone, woven cotton and warm sand setting."
05,14k-rose-05-on-hand-woven-cotton.jpg,"14K Rose Gold Lintel wedding band shown on a natural hand for scale, with a wide satin center and polished rounded edge rails in a limestone, woven cotton and warm sand setting."
06,14k-rose-06-birch-holder-workshop.jpg,"14K Rose Gold Lintel wedding band shown in a natural jewelry workshop setting, with a wide satin center and polished rounded edge rails in a limestone, woven cotton and warm sand setting."
07,14k-rose-07-compact-sand-horizontal.jpg,"14K Rose Gold Lintel wedding band resting horizontally to show the full profile, with a wide satin center and polished rounded edge rails in a limestone, woven cotton and warm sand setting."
08,14k-rose-08-packaging-concept.jpg,"14K Rose Gold Lintel wedding band presented in an EON packaging concept, with a wide satin center and polished rounded edge rails in a limestone, woven cotton and warm sand setting."
09,14k-rose-09-limestone-step-sand-trickle.jpg,"14K Rose Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a limestone, woven cotton and warm sand setting."
10,14k-rose-10-linen-interior-macro.jpg,"14K Rose Gold Lintel wedding band in a close view of the comfort-fit interior, with a wide satin center and polished rounded edge rails in a limestone, woven cotton and warm sand setting."
